ID,addr_o
45263552000_file1,"Москва, Улица Глебовская, 9"
45263552000_file1,"Москва, Улица Глебовская, 11"
45263552000_file1,"Москва, Бульвар Маршала Рокоссовского, 29"
45263552000_file1,"Москва, Бульвар Маршала Рокоссовского, 13"
45263552000_file1,"Москва, Бульвар Маршала Рокоссовского, 31"
45263552000_file1,"Москва, Бульвар Маршала Рокоссовского, 33"
45263552000_file1,"Москва, Бульвар Маршала Рокоссовского, 12"
45263552000_file1,"Москва, Бульвар Маршала Рокоссовского, 37"
45263552000_file1,"Москва, Бульвар Маршала Рокоссовского, 39"
45263552000_file1,"Москва, Бульвар Маршала Рокоссовского, 1"
45263552000_file1,"Москва, Улица Игральная, 4"
45263552000_file1,"Москва, Улица Игральная, 5"
45263552000_file1,"Москва, Улица Игральная, 5"
45263552000_file1,"Москва, Улица Игральная, 6 (к. 1, 2)"
45263552000_file1,"Москва, Улица Игральная, 7"
45263552000_file1,"Москва, Улица Игральная, 7"
45263552000_file1,"Москва, Улица Игральная, 8"
45263552000_file1,"Москва, Улица Игральная, 10"
45263552000_file1,"Москва, Улица 2-я Прогонная, 9"
45263552000_file1,"Москва, Улица 2-я Прогонная, 11"
45263552000_file1,"Москва, Улица 3-я Гражданская, 47"
45263552000_file2,"Москва, Бульвар Маршала Рокоссовского, 21"
45263552000_file2,"Москва, Бульвар Маршала Рокоссовского, 21"
45263552000_file2,"Москва, Бульвар Маршала Рокоссовского, 39"
45263552000_file2,"Москва, Бульвар Маршала Рокоссовского, 22"
45263552000_file2,"Москва, Улица Глебовская, 2"
45263552000_file2,"Москва, Улица Глебовская, 4"
45263552000_file2,"Москва, Улица Глебовская, 6"
45263552000_file2,"Москва, Улица Глебовская, 8"
45263552000_file2,"Москва, Улица Глебовская, 8"
45263552000_file2,"Москва, Улица Глебовская, 2"
45263552000_file2,"Москва, Улица Детская, 14"
45263552000_file2,"Москва, Улица 4-я Гражданская, 33"
45263552000_file2,"Москва, Улица 4-я Гражданская, 35"
45263552000_file2,"Москва, Улица Наримановская, 27"
45263552000_file2,"Москва, Улица Наримановская, 32"
45263552000_file2,"Москва, Улица Наримановская, 34"
45263552000_file2,"Москва, Улица Андреево-Забелинская, 28"
45263552000_file2,"Москва, Улица Андреево-Забелинская, 35"
45263552000_file2,"Москва, Улица Игральная, 3"
45263552000_file2,"Москва, Улица Бойцовая, 11"
45263552000_file2,"Москва, Улица Бойцовая, 13 (к. 1, 2)"
45263552000_file2,"Москва, Улица Бойцовая, 15"
45263552000_file2,"Москва, Улица Бойцовая, 17 (к. 1-3)"
45263552000_file2,"Москва, Улица Бойцовая, 19"
45263552000_file2,"Москва, Улица Бойцовая, 21"
45263552000_file2,"Москва, Улица Бойцовая, 2"
45263552000_file3,"Москва, Улица Глебовская, 1"
45263552000_file3,"Москва, Улица Глебовская, 3 (к. 1, 2)"
